微博正文,来源,时间,
不ydd//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 20:07:00,
宋亚轩#宋亚轩东方卫视跨年晚会#‼️12.30重要ct晚间🌆集中冲刺‼️⚠️所有人都来做⚠️➡️【分享完扔爬楼群增加阅读量】⬅️🌈投票词条分享的时候请删去【投票二字以及发帖人的艾特】️①点击一个选项投票并分享②取消选项选另一个选项再次投票并分享‼️PS：四个选项都要投票分享‼️@时代少年团-宋亚轩#宋亚轩东方卫视跨年晚会#.@时代少年团-宋,A平台,2021-07-25 19:59:43,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-25 18:56:05,
不ee//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 18:34:45,
gye//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 18:26:24,
#周深遇见花西子#传统五音，宫商角徵羽。宛转悠扬，江南西子调。古风悠扬，意境唯美@卡布叻_周深L花西子-东方彩妆的微博视频,A平台,2021-07-25 18:19:46,
#花西子全球品牌大使周深#柳絮轻飘尘世喧嚣逐一退潮伊人脸上一抹笑往梦里找繁花娇苏堤春晓@卡布叻_周深期待新的故事L花西子-东方彩妆的微博视频,A平台,2021-07-25 18:12:17,
tyg//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 17:17:49,
#花西子全球品牌大使周深#打开音乐软件，咦，这首是周深，那首也是周深，算了，拉个歌单随机循环吧，反正每首都好听。@卡布叻_周深,A平台,2021-07-25 17:06:33,
#周深遇见花西子#传统五音，宫商角徵羽。宛转悠扬，江南西子调。这首歌mv意境好美@卡布叻_周深L花西子-东方彩妆的微博视频,A平台,2021-07-25 16:53:28,
yyss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 16:50:20,
stts//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 16:41:47,
#花西子全球品牌大使周深#你歌声之所在，便是我心归处。@卡布叻_周深L花西子Florasis的微博视频只因你太美好，令我无法坦白说出我爱你。,A平台,2021-07-25 16:29:07,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-25 16:07:42,
#周深五国语言唱花西子#问世间情为何物直教生死相许《经典咏流传3》第七期，一起聆听经典传唱人周深@卡布叻_周深用空灵歌声演绎《摸鱼儿·雁丘词》，带你寻找“情”归处。L央视频的微博视频非常幸运的喜欢上了周深，他唱歌很好听，为人很真诚，是个正能量的歌手，加油@卡布叻_周深《真夏的樱花》L湖南卫视新手驾到的微博,A平台,2021-07-25 15:38:49,
//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 15:33:29,
#周深遇见花西子#交流是通往爱的唯一途径,A平台,2021-07-25 15:26:11,
宋亚轩#宋亚轩东方卫视跨年晚会#12.30➡️【分享完扔爬楼群增加阅读量】⬅️🌈投票词条分享的时候请删去【投票二字以及发帖人的艾特】️①点击一个选项投票并分享②取消选项选另一个选项再次投票并分享‼️PS：四个选项都要投票分享‼️【宋亚轩好帅】【宋亚轩我喜欢你】【宋亚轩好棒】@时代少年团-宋亚轩宋亚轩好帅宋亚轩我喜欢你@时代少年团-宋,A平台,2021-07-25 15:21:35,
【宋亚轩好帅宋亚轩我喜欢你@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-25 15:00:16,
#周深遇见花西子#匆匆一眼误终身在所有的怦然心动里你仍拔得头筹💝💝你在我眼中最迷人你歌在我耳畔最动听😘😘😘@卡布叻_周深狂欢夜化身孤岛的鲸L2021天猫双11狂欢夜的优酷视频,A平台,2021-07-25 14:53:46,
tst//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 14:43:30,
stss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 14:40:13,
#周深遇见花西子#@卡布叻_周深你从光阴中走来，呵护着我心上的孤岛，等到风平浪静时，带我离开困顿,A平台,2021-07-25 14:36:57,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-25 14:32:18,
#周深遇见花西子#周深望尽星辰美丽是你书尽泛黄扉页是你千山万水归处是你@卡布叻_周深L球球大作战的微博视频,A平台,2021-07-25 14:30:15,
tstz//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 14:26:43,
ttt//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 14:21:49,
gg//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 14:16:41,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-25 14:06:02,
tt//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 14:05:08,
我爱你，这是我最坚定的心意，你知道我爱你，希望这能成为你最大的底气。#周深遇见花西子#,A平台,2021-07-25 13:58:54,
#周深五国语言唱花西子#守护和传播东方之音、民族美学，听深深用五国语言让我们感受东方韵律！携手花西子走向世界！@卡布叻_周深L花西子Florasis的微博视频,A平台,2021-07-25 13:49:52,
#周深遇见花西子#这么灵动可爱的深深宝贝，谁能不爱呢！@卡布叻_周深#周深五国语言唱花西子#L花西子Florasis的微博视频,A平台,2021-07-25 13:48:28,
一s//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 13:46:42,
一sd//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 13:40:54,
#花西子全球品牌大使周深#当我们独自相处时，我们更容易反叛；与别人生活在一起时，我们更容易委屈自己——《给一个未出生孩子的信》法拉奇,A平台,2021-07-25 13:40:50,
ydd//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 13:35:46,
usus//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 13:08:12,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-25 12:39:55,
yyss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 12:25:43,
#周深五国语言唱花西子#L花西子Florasis的微博视频@卡布叻_周深爱会延续点亮希望灯火,A平台,2021-07-25 12:22:39,
#花西子全球品牌大使周深#在FB和Ins逛了一圈，看见了好多国际深跟周深和花西子一起走向更大的世界👏🏻👏🏻👏🏻@卡布叻_周深http://t.cn/A6xXqqSS,A平台,2021-07-25 12:12:13,
#花西子全球品牌大使周深#柳絮轻飘尘世喧嚣逐一退潮伊人脸上一抹笑往梦里找繁花娇苏堤春晓@卡布叻_周深期待新的故事L花西子-东方彩妆的微博视频,A平台,2021-07-25 11:55:47,
sys//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 10:18:45,
#周深五国语言唱花西子#@卡布叻_周深，春天温柔了九州山河，而你温柔了春天。,A平台,2021-07-25 09:54:16,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-25 09:06:02,
s//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 08:59:12,
yss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 06:07:54,
#周深遇见花西子#@卡布叻_周深的声音，贯穿整个自然，上至星河宇宙，下至土壤微毫，你是风，是海，是迷雾，也是阳光。你的声音甜美中微凉，迷人中却有温暖。你的咬字轻盈清晰又流畅，所谓艺术品，大抵如此！,A平台,2021-07-25 02:17:00,
💙#周深遇见花西子#花西子这个花絮真的是又帅又可爱，清爽利落的帅气，机敏灵动的可爱。@卡布叻_周深L花西子Florasis的微博视频😍,A平台,2021-07-25 01:52:36,
一sys//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 01:06:24,
gg//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 00:48:54,
#花西子全球品牌大使周深#@卡布叻_周深一步一步慢慢走来才有更多的时间去磨练和进步，才有了今天强大而美好的你！b站跨年：《thisisme》L哔哩哔哩最美的夜的微博视频,A平台,2021-07-25 00:27:16,
tt//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-25 00:15:44,
#周深遇见花西子#周深的歌声，给人带来了无限的幻想空间，让人们甘愿在他的歌声里流连，沉沦。@卡布叻_周深,A平台,2021-07-25 00:05:00,
ttt//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 23:44:03,
#周深遇见花西子#匆匆一眼误终身在所有的怦然心动里你仍拔得头筹💝💝你在我眼中最迷人你歌在我耳畔最动听😘😘😘@卡布叻_周深狂欢夜化身孤岛的鲸L2021天猫双11狂欢夜的优酷视频,A平台,2021-07-24 23:38:54,
#周深五国语言唱花西子#五语花西子太绝了！@卡布叻_周深《花西子》国际版又是一次新的尝试，希望可以通过这首歌让我们的东方韵律走向世界，让世界感受到更多元更立体的东方美。L花西子Florasis的微博视频,A平台,2021-07-24 23:37:42,
tt//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 23:36:23,
ttas//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 23:09:47,
#周深遇见花西子#心中唯君低头温柔模样，亦或满眼柔情望向远方。苏苏的嗓音绕过左耳，心底泛起阵阵涟漪。@卡布叻_周深#周深花西子品牌大使#L花西子http://mapi/0073BTAOgy1gg8ggie3bdj30dw0dw0uc,A平台,2021-07-24 22:59:48,
ffte//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 22:32:01,
#周深五国语言唱花西子#唱好听的歌，给喜欢他声音的人，歌手@卡布叻_周深用歌声敲开心门，用声音撑起一片避难所。L花西子Florasis的微博视频,A平台,2021-07-24 22:26:13,
#周深五国语言唱花西子#守护和传播东方之音、民族美学，听深深用五国语言让我们感受东方韵律！携手花西子走向世界！@卡布叻_周深L花西子Florasis的微博视频,A平台,2021-07-24 22:09:41,
s//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 22:08:34,
ttss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 21:58:46,
tsts//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 21:15:25,
#花西子全球品牌大使周深#全新《花西子》国际版，感受这份向世界传递的东方之美。@卡布叻_周深L花西子Florasis的微博视频,A平台,2021-07-24 21:06:38,
#花西子全球品牌大使周深#期待深深和花西子一起携手走向世界舞台！！！实力与颜值同时在线，小啾啾深太帅了@卡布叻_周深,A平台,2021-07-24 21:04:23,
tss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 21:02:52,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-24 20:56:24,
#花西子全球品牌大使周深#喜欢的不仅是花西子这首歌，还有这个品牌。东方彩妆，淡妆宜巧，而浓抹不妖。一花一水一草一木，都在花西子和周深@卡布叻_周深的歌声中体现得淋漓尽致！周深《花西子(国际版)》K花西子(国际版)（@网易云音乐）,A平台,2021-07-24 20:41:40,
#周深五国语言唱花西子#守护和传播东方之音、民族美学，听深深用五国语言让我们感受东方韵律！携手花西子走向世界！@卡布叻_周深L花西子Florasis的微博视频,A平台,2021-07-24 20:39:42,
uss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 20:38:56,
we//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 20:31:23,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-24 20:22:50,
ysys//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 20:11:32,
//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 19:58:37,
usus//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 19:51:02,
#周深五国语言唱花西子#守护和传播东方之音、民族美学，听深深用五国语言让我们感受东方韵律！携手花西子走向世界！@卡布叻_周深L花西子Florasis的微博视频,A平台,2021-07-24 19:46:18,
#花西子全球品牌大使周深#@卡布叻_周深L花西子-东方彩妆的微博视频煎雪落雨，心上是你，欢喜躲在眉目里。,A平台,2021-07-24 19:37:03,
wyee//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 19:26:03,
#花西子全球品牌大使周深#期待深深和花西子一起携手走向世界舞台！！！实力与颜值同时在线，小啾啾深太帅了@卡布叻_周深,A平台,2021-07-24 19:11:03,
#周深遇见花西子#传统五音，宫商角徵羽。宛转悠扬，江南西子调。这首歌mv意境好美@卡布叻_周深L花西子-东方彩妆的微博视频,A平台,2021-07-24 19:02:11,
uss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 18:54:22,
#花西子全球品牌大使周深#L花西子Florasis的微博视频,A平台,2021-07-24 18:49:04,
zusd//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 18:39:47,
//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 18:39:16,
wus//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 18:31:04,
#周深五国语言唱花西子#5国语言！！快来听听吧！！让我们的东方韵律走向世界，让世界感受到更多元更立体的东方美。@卡布叻_周深L花西子Florasis的微博视频,A平台,2021-07-24 18:11:57,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-24 18:02:27,
ttss//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 17:58:31,
tdyd//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 17:50:00,
#周深五国语言唱花西子#五语花西子太绝了！@卡布叻_周深《花西子》国际版又是一次新的尝试，希望可以通过这首歌让我们的东方韵律走向世界，让世界感受到更多元更立体的东方美。L花西子Florasis的微博视频,A平台,2021-07-24 17:40:10,
我参与了@CHAOS-宋亚轩叁零肆总站发起的投票【宋亚轩好帅宋亚轩我喜欢你@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-24 17:35:50,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-24 17:33:31,
#周深五国语言唱花西子#@卡布叻_周深见证你一路成长，期待你越来越棒！永远永远支持周深！,A平台,2021-07-24 17:28:45,
tdtd//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 17:25:51,
#花西子全球品牌大使周深#期待深深和花西子一起携手走向世界舞台！！！实力与颜值同时在线，小啾啾深太帅了@卡布叻_周深,A平台,2021-07-24 17:25:12,
gg//@木子冉冉冉冉冉:翔霖。//@诶丶冉冉今天是锦鲤喂:严浩翔贺峻霖//@翔霖神谕:感谢@花西子Florasis分享！明眸映照少年神采，@时代少年团-严浩翔@时代少年团-贺峻霖同花西子感受色彩的东方。,A平台,2021-07-24 16:52:55,
【#宋亚轩东方卫视跨年晚会#.@时代少年团-宋亚轩】，我投给了“#花西子品牌大使宋亚轩#syx#宋亚轩治愈笑颜#”这个选项，你也快来表态吧~,A平台,2021-07-24 16:46:22,
#花西子全球品牌大使周深#全新《花西子》国际版，感受这份向世界传递的东方之美。@卡布叻_周深L花西子Florasis的微博视频,A平台,2021-07-24 15:35:59,
