测试名称,准考证号,开始时间,结束时间,user_agent,client_ip,name,place
tsing/ds,2203011,2022-06-20T16:13:51.166+08:00,2022-06-20T16:25:12.442+08:00,"Mozilla/5.0 (Linux; Android 10; Redmi K20 Pro Build/QKQ1.190825.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.101 Mobile Safari/537.36 WpsMoffice/13.24.0/arm64-v8a/1320",220.202.152.79,大学生11,湖南
tsing/ds,2203012,2022-06-20T15:20:24.142+08:00,2022-06-20T15:30:45.78+08:00,"Mozilla/5.0 (Linux; Android 11; PEQM00 Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220303 Mobile Safari/537.36 MMWEBID/6924 MicroMessenger/8.0.21.2120(0x280015F0) Process/toolsmp WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",36.157.231.212,大学生12,湖南
tsing/ds,2203013,2022-06-20T15:50:59.623+08:00,2022-06-20T16:09:44.317+08:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.124 Safari/537.36 Edg/102.0.1245.44",36.157.231.212,大学生13,湖南
tsing/ds,2203014,2022-06-20T18:33:55.928+08:00,2022-06-20T18:50:24.254+08:00,"Mozilla/5.0 (Linux; Android 9; PCHM10 Build/PKQ1.190714.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/6659 MicroMessenger/8.0.23.2160(0x28001751) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",36.157.211.115,大学生14,湖南
tsing/ds,2203015,2022-06-20T15:47:23.993+08:00,2022-06-20T16:27:49.06+08:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.105 Safari/537.36",116.230.247.246,大学生15,上海
tsing/ds,2203016,2022-06-20T16:44:10.961+08:00,2022-06-20T16:54:15.081+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/WIFI Language/zh_CN",101.80.127.100,大学生16,上海
tsing/ds,2203017,2022-06-20T19:34:08.411+08:00,2022-06-20T19:40:33.151+08:00,"Mozilla/5.0 (Linux; Android 10; HLK-AL00 Build/HONORHLK-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4233 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/3689 MicroMessenger/8.0.23.2160(0x280017A0) WeChat/arm64 Weixin NetType/4G Language/zh_CN ABI/arm64",221.192.179.16,大学生17,河北
tsing/ds,2203018,2022-06-20T18:44:10.723+08:00,2022-06-20T19:06:18.748+08:00,"Mozilla/5.0 (iPad; CPU OS 14_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/WIFI Language/zh_CN",117.136.117.114,大学生18,安徽
tsing/ds,2203019,2022-06-20T15:42:28.72+08:00,2022-06-20T15:50:12.535+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/WIFI Language/zh_CN",111.8.90.160,大学生19,湖南
tsing/ds,2203020,2022-06-20T19:25:28.184+08:00,2022-06-20T19:30:49.688+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.18(0x1800123f) NetType/4G Language/zh_CN",223.104.65.251,大学生20,广东
tsing/ds,2203021,2022-06-20T18:34:27.019+08:00,2022-06-20T18:43:53.098+08:00,"Mozilla/5.0 (Linux; Android 11; LSA-AN00 Build/HONORLSA-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/9905 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",116.162.133.246,大学生21,湖南
tsing/ds,2203023,2022-06-20T19:06:58.52+08:00,2022-06-20T19:20:54.133+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",101.88.39.128,大学生23,上海
tsing/ds,2203024,2022-06-20T18:42:07.17+08:00,2022-06-20T18:48:36.379+08:00,"Mozilla/5.0 (Linux; Android 12; PDPM00 Build/RKQ1.211103.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/9325 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",111.8.90.160,大学生24,湖南
tsing/ds,2203025,2022-06-20T18:38:01.802+08:00,2022-06-20T18:51:28.449+08:00,"Mozilla/5.0 (Linux; Android 12; M2012K11AC Build/SKQ1.211006.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4233 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/2888 MicroMessenger/8.0.23.2160(0x28001751) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",58.20.50.200,大学生25,湖南
tsing/ds,2203026,2022-06-20T18:42:46.592+08:00,,"Mozilla/5.0 (Linux; Android 10; SPN-AL00 Build/HUAWEISPN-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/9199 MicroMessenger/8.0.23.2160(0x28001751) WeChat/arm64 Weixin NetType/4G Language/zh_CN ABI/arm64",223.104.65.19,大学生26,广东
tsing/ds,2203027,2022-06-20T19:31:38.663+08:00,2022-06-20T19:37:01.984+08:00,"Mozilla/5.0 (Linux; Android 10; EBG-AN00 Build/HUAWEIEBG-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4207 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/6648 MicroMessenger/8.0.23.2160(0x28001751) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",113.75.43.150,大学生27,广东
tsing/ds,2203028,2022-06-20T18:57:41.585+08:00,2022-06-20T19:07:51.423+08:00,"Mozilla/5.0 (Linux; Android 11; V2073A Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4233 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/800 MicroMessenger/8.0.23.2160(0x28001766) WeChat/arm64 Weixin NetType/5G Language/zh_CN ABI/arm64",112.111.55.226,大学生28,福建
tsing/ds,2203029,2022-06-20T19:06:21.357+08:00,2022-06-20T19:17:10.22+08:00,"Mozilla/5.0 (Linux; Android 10; V2002A Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/9983 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/5G Language/zh_CN ABI/arm64",116.162.1.148,大学生29,湖南
tsing/ds,2203030,2022-06-20T19:31:02.256+08:00,2022-06-20T19:42:59.934+08:00,"Mozilla/5.0 (Linux; Android 11; PDYT20 Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4233 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/2167 MicroMessenger/8.0.23.2160(0x28001751) WeChat/arm64 Weixin NetType/5G Language/zh_CN ABI/arm64",112.97.81.247,大学生30,广东
tsing/ds,2203031,2022-06-20T20:30:18.304+08:00,2022-06-20T20:50:17.285+08:00,"Mozilla/5.0 (Linux; Android 10; ANG-AN00 Build/HUAWEIANG-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3247 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/542 MicroMessenger/8.0.23.2160(0x28001751) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",111.37.74.119,大学生31,山东
tsing/ds,2203034,2022-06-21T12:21:31.392+08:00,2022-06-21T12:27:46.308+08:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.124 Safari/537.36 Edg/102.0.1245.44",221.192.179.215,大学生34,河北
tsing/ds,2203035,2022-06-21T12:26:18.406+08:00,2022-06-21T12:37:35.146+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/WIFI Language/zh_CN",101.93.235.110,大学生35,上海
tsing/ds,2203036,2022-06-21T15:52:26.437+08:00,2022-06-21T16:00:22.341+08:00,"Mozilla/5.0 (Linux; Android 10; OCE-AN50 Build/HUAWEIOCE-AN50; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4255 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/139 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",180.110.143.28,大学生36,江苏
tsing/ds,2203037,2022-06-21T13:58:09.232+08:00,2022-06-21T14:14:16.352+08:00,"Mozilla/5.0 (iPad; CPU OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Mobile/15E148 Safari/604.1",116.230.247.246,大学生37,上海
tsing/ds,2203038,2022-06-21T14:31:25.067+08:00,2022-06-21T14:44:12.053+08:00,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",116.230.247.246,大学生38,上海
tsing/ds,2203039,2022-06-21T21:16:05.634+08:00,2022-06-21T21:22:34.582+08:00,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",111.8.90.160,大学生39,湖南
tsing/ds,2203040,2022-06-21T16:14:53.292+08:00,2022-06-21T16:27:32.439+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/WIFI Language/zh_CN",180.110.143.28,大学生40,江苏
tsing/ds,2203041,2022-06-21T17:06:03.887+08:00,2022-06-21T17:19:28.379+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/WIFI Language/zh_CN",58.40.125.215,大学生41,上海
tsing/ds,2203042,2022-06-21T17:22:28.994+08:00,2022-06-21T17:41:42.847+08:00,"Mozilla/5.0 (Linux; Android 7.1.1; MI MAX 2 Build/NMF26F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220105 Mobile Safari/537.36 MMWEBID/6882 MicroMessenger/8.0.19.2080(0x28001337) Process/toolsmp WeChat/arm64 Weixin NetType/4G Language/zh_CN ABI/arm64",39.144.43.164,大学生42,上海
tsing/ds,2203043,2022-06-21T19:10:16.538+08:00,2022-06-21T19:19:52.831+08:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",222.94.37.204,大学生43,江苏
tsing/ds,2203044,2022-06-21T19:22:29.799+08:00,2022-06-21T19:35:57.73+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/17G80 QQ/8.8.68.629 V1_IPH_SQ_8.8.68_1_APP_A Pixel/750 MiniAppEnable SimpleUISwitch/0 StudyMode/0 CurrentMode/0 CurrentFontScale/1.000000 QQTheme/1000 AppId/537111525 Core/WKWebView Device/Apple(iPhone 7) NetType/WIFI QBWebViewType/1 WKType/1",222.94.37.204,大学生44,江苏
tsing/ds,2203045,2022-06-21T19:36:46.488+08:00,2022-06-21T19:50:48.739+08:00,"Mozilla/5.0 (Linux; Android 10; PCT-AL10 Build/HUAWEIPCT-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/7207 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",222.94.37.204,大学生45,江苏
tsing/ds,2203046,2022-06-21T19:56:21.761+08:00,2022-06-21T20:11:02.116+08:00,"Mozilla/5.0 (Linux; Android 11; V2072A Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/8296 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",60.181.134.54,大学生46,浙江
tsing/ds,2203047,2022-06-21T20:13:24.447+08:00,2022-06-21T20:26:10.815+08:00,"Mozilla/5.0 (Linux; Android 11; V2072A Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/8296 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",60.181.134.54,大学生47,浙江
tsing/ds,2203048,2022-06-21T21:11:16.374+08:00,2022-06-21T21:29:10.903+08:00,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",101.93.235.110,大学生48,上海
tsing/ds,2203049,2022-06-21T20:56:50.324+08:00,2022-06-21T21:02:06.158+08:00,"Mozilla/5.0 (Linux; Android 10; NOH-AN00 Build/HUAWEINOH-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/3459 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/4G Language/zh_CN ABI/arm64",218.69.55.74,大学生49,天津
tsing/ds,2203050,2022-06-21T23:46:32.733+08:00,2022-06-21T23:54:33.201+08:00,"Mozilla/5.0 (Linux; Android 11; V2072A Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/8296 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/4G Language/zh_CN ABI/arm64",36.19.247.136,大学生50,浙江
tsing/ds,2203051,2022-06-21T23:32:32.106+08:00,2022-06-21T23:45:16.526+08:00,"Mozilla/5.0 (iPad; CPU OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x18001729) NetType/WIFI Language/zh_CN",36.106.246.190,大学生51,天津
tsing/ds,2203052,2022-06-21T23:35:12.805+08:00,2022-06-21T23:45:40.895+08:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",36.106.246.190,大学生52,天津
tsing/ds,2203053,2022-06-21T23:49:04.897+08:00,2022-06-22T00:04:46.822+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/WIFI Language/zh_CN",36.106.246.190,大学生53,天津
tsing/ds,2203054,2022-06-22T07:59:55.872+08:00,2022-06-22T08:09:18.874+08:00,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",180.213.15.50,大学生54,天津
tsing/ds,2203055,2022-06-22T08:54:37.161+08:00,2022-06-22T09:08:00.542+08:00,"Mozilla/5.0 (Linux; Android 11; V2055A Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/4069 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",58.40.125.215,大学生55,上海
tsing/ds,2203056,2022-06-22T19:29:24.83+08:00,2022-06-22T19:41:56.436+08:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x6307001e)",39.187.212.118,大学生56,浙江
tsing/ds,2203057,2022-06-22T14:43:59.682+08:00,2022-06-22T14:56:04.912+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/4G Language/zh_CN",116.162.2.149,大学生57,湖南
tsing/ds,2203058,2022-06-22T16:15:30.404+08:00,2022-06-22T16:26:52.912+08:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.124 Safari/537.36 Edg/102.0.1245.44",175.10.144.42,大学生58,湖南
tsing/ds,2203059,2022-06-22T20:31:02.921+08:00,2022-06-22T20:37:06.212+08:00,"Mozilla/5.0 (Linux; Android 10; GLK-AL00 Build/HUAWEIGLK-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/2924 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",111.8.90.121,大学生59,湖南
tsing/ds,2203060,2022-06-22T22:02:59.493+08:00,,"Mozilla/5.0 (Linux; Android 7.1.1; OPPO A73 Build/N6F26Q; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/76.0.3809.89 Mobile Safari/537.36 T7/13.11 SP-engine/2.49.0 baiduboxapp/13.11.0.10 (Baidu; P1 7.1.1) NABar/1.0",111.8.90.121,大学生60,湖南
tsing/ds,2203062,2022-06-22T19:30:14.369+08:00,,"Mozilla/5.0 (Linux; Android 11; M2012K11AC Build/RKQ1.200826.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220105 Mobile Safari/537.36 MMWEBID/9344 MicroMessenger/8.0.19.2080(0x2800133D) Process/toolsmp WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",111.8.84.43,大学生62,湖南
tsing/ds,2203063,2022-06-22T19:39:07.389+08:00,2022-06-22T19:48:54.879+08:00,"Mozilla/5.0 (Linux; Android 8.1.0; OPPO R11 Pluskt Build/OPM1.171019.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4255 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/653 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",115.208.77.206,大学生63,浙江
tsing/ds,2203064,2022-06-22T19:46:30.928+08:00,2022-06-22T19:57:50.295+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/4G Language/zh_CN",223.104.9.207,大学生64,四川
tsing/ds,2203066,2022-06-22T20:32:38.843+08:00,2022-06-22T20:38:55.001+08:00,"Mozilla/5.0 (Linux; Android 11; V2106A Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4255 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/1206 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/5G Language/zh_CN ABI/arm64",39.144.190.89,大学生66,湖南
tsing/ds,2203067,2022-06-22T20:25:31.681+08:00,2022-06-22T20:31:18.009+08:00,"Mozilla/5.0 (Linux; Android 12; PEGM10 Build/RKQ1.211103.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4255 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/1306 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",111.8.250.5,大学生67,湖南
tsing/ds,2203068,2022-06-22T20:28:01.58+08:00,2022-06-22T20:41:37.145+08:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.124 Safari/537.36 Edg/102.0.1245.44",183.214.33.81,大学生68,湖南
tsing/ds,2203069,2022-06-22T21:13:57.693+08:00,2022-06-22T21:25:01.412+08:00,"Mozilla/5.0 (Linux; Android 10; Redmi Note 8 Pro Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/3235 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/6907 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/4G Language/zh_CN ABI/arm64",112.96.228.62,大学生69,广东
tsing/ds,2203070,2022-06-22T20:27:45.395+08:00,2022-06-22T20:39:56.261+08:00,"Mozilla/5.0 (Linux; Android 9; COR-AL10; HMSCore 6.5.1.301; GMSCore 19.6.29) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.105 HuaweiBrowser/12.1.0.302 Mobile Safari/537.36",223.153.78.164,大学生70,湖南
tsing/ds,2203071,2022-06-22T20:31:51.405+08:00,2022-06-22T20:46:38.411+08:00,"Mozilla/5.0 (Linux; Android 10; TEL-AN00a Build/HONORTEL-AN00a; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/86.0.4240.99 XWEB/4255 MMWEBSDK/20220505 Mobile Safari/537.36 MMWEBID/1371 MicroMessenger/8.0.23.2160(0x28001757) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64",220.248.177.4,大学生71,湖南
tsing/ds,2203072,2022-06-22T20:36:18.616+08:00,2022-06-22T20:48:11.873+08:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.23(0x1800172a) NetType/4G Language/zh_CN",101.206.167.34,大学生72,四川
